Filename|Size|ZIP File
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Ghostbusters-Mural-Wide_New.jpg|221211|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Livemore_Quote.png|223958|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-24 at 8.43.11 PM.png|429493|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-24 at 8.43.29 PM.png|462056|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-24 at 8.43.42 PM.png|409627|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-24 at 9.08.35 PM.png|681116|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 10.28.52 PM.png|179291|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 10.43.04 PM.png|184110|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.10.55 PM.png|160492|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.11.07 PM.png|169479|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.11.20 PM.png|161245|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.11.53 PM.png|134030|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.12.28 PM.png|224558|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 11.12.52 PM.png|229835|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 3.34.10 PM.png|193742|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 3.54.17 PM.png|214158|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 3.55.51 PM.png|206823|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 6.00.50 PM.png|206820|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 6.03.38 PM.png|227873|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 6.09.12 PM.png|223064|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 6.15.30 PM.png|216626|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Screen Shot 2015-01-25 at 6.22.30 PM.png|167096|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 1.43.42 PM.png|164472|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 1.50.20 PM.png|800320|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 10.44.18 AM.png|167719|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 12.57.13 PM.png|132787|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 5.09.30 PM.png|362541|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 9.50.55 AM.png|152128|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-11 at 9.54.38 AM.png|151316|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-12 at 2.03.47 PM.png|118231|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-12 at 5.58.09 PM.png|174870|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-12 at 9.26.51 AM.png|176294|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 1.18.40 PM.png|157118|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 10.02.30 AM.png|162926|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 10.29.46 AM.png|167793|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 11.41.27 AM.png|187187|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 12.10.23 PM.png|188266|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 12.10.35 PM.png|199617|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 12.30.59 PM.png|173200|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 2.44.01 PM.png|179771|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 2.59.34 PM.png|191632|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
/Users/wkotzan/Development/gem-development/zip-chunks/spec/file-fixtures/Subfolder 1/Screen Shot 2014-11-13 at 9.08.30 AM.png|198389|/Users/wkotzan/Development/gem-development/zip-chunks/output/fixtures_1.zip
